person_id,image_name,top_left_R_mean,top_left_R_var,top_left_G_mean,top_left_G_var,top_left_B_mean,top_left_B_var,top_right_R_mean,top_right_R_var,top_right_G_mean,top_right_G_var,top_right_B_mean,top_right_B_var,bottom_left_R_mean,bottom_left_R_var,bottom_left_G_mean,bottom_left_G_var,bottom_left_B_mean,bottom_left_B_var,bottom_right_R_mean,bottom_right_R_var,bottom_right_G_mean,bottom_right_G_var,bottom_right_B_mean,bottom_right_B_var
A,page_1.jpg,154.4504900888034,1875.6243758036271,159.88138526393385,2088.6404121790156,175.15392013452967,2114.943154171021,179.17463898916967,1037.0897413991383,186.17663087217457,1070.177072592044,202.545890914944,762.8305873486744,157.72460376555685,1477.2368321038705,163.89217938287186,1637.6812021020626,178.10746700322278,1642.889634443583,181.14070526249333,678.1477563959602,187.58438986873898,701.2323120394242,201.68933267521078,599.004393792853
A,page_2.jpg,175.1023866004247,1159.8558196183153,181.26878223203585,1213.8795516568207,202.18287655223517,893.8114445449578,178.07993982916847,845.1998858584682,185.15947752654193,865.1607762802555,204.9890158444892,646.5503605412194,158.6816009468821,1282.1435830288451,164.37019658744487,1359.0904523606353,183.43931798628412,1053.3317558997053,174.52544972980218,1012.7090733509374,181.42241959225822,1043.3364840046536,200.90091174696477,779.430816191304
A,page_3.jpg,183.07869408233097,429.1130947700078,187.42590580851018,440.1177283474896,197.68205911371413,393.3240295741028,176.72942775573608,459.6549169070391,180.36180122593782,471.50392416915025,188.6836728803241,418.98868906888544,174.0368148707937,610.5449532069682,177.73696129059346,630.0428795123878,188.43328452673342,477.2642739863242,172.13318428952286,701.5195228976451,175.49200726326174,723.3929184618152,184.5307507819552,547.9906995391876
A,page_4.jpg,178.19404931792724,996.3614149722335,182.3897507506125,1070.286600390544,193.85077004915425,966.6144825585226,174.63973388883784,742.8376388144997,179.50012509062688,756.2623048174457,191.11193313523063,638.0184321798259,171.5932002114559,1169.357892833951,175.48411654591376,1264.365701144511,188.13972689499477,1102.6741156071164,171.18718548769482,696.5998698461012,176.62221304496347,729.2945224114048,187.53451668986474,641.287495842241
A,page_5.jpg,189.05576584728297,618.0857681675623,191.54074046146886,838.100660126326,201.04729050419746,888.6964088603115,181.58748806112703,552.7309800320925,186.16541497008998,558.5825107072549,195.84988940833458,523.2874778694363,179.51930578595486,1259.249275404057,181.56075001256724,1499.2807889011117,192.82670537374955,1292.6876359910618,177.8263484642839,965.9776946389408,182.45876690293068,999.196170942147,193.2527497109536,800.1147105560152
AA,page_1.jpg,170.09888108668125,1330.504671707628,174.51955796017037,1337.176648682234,185.01275929549902,1013.1343094002173,159.02677438631974,926.122274306274,161.46454445159512,925.5151674696843,167.41700147099385,740.8632132943803,156.910908275759,1205.5020098993796,159.2777776500477,1287.761343295995,168.16282288565222,1079.0925198497764,144.02340730267446,915.4759483935936,141.82917121897924,920.7552949832989,141.44836070841635,765.2941112643753
AA,page_2.jpg,178.5455019902698,1286.1731750354893,184.2212781954887,1268.972292041581,197.9592083149049,950.9629180817708,167.80558106676085,1193.5455243091292,172.78799673260332,1206.1762419159202,185.31279362416106,964.51156274494,161.59609685979655,1184.1121983877877,163.33762715612562,1243.1084559352912,172.62758071649714,1036.2426041868728,149.95300468032497,954.7723785999428,151.29340780642883,1001.0861124949444,157.67233972094667,889.0390159050772
AA,page_3.jpg,178.53490985599637,1214.7435943996072,182.66900583321785,1238.285423522486,191.7672835850982,972.7812732543028,164.06215600253566,943.5241670792121,166.05671241560427,959.2488212737344,171.51585029632835,796.9452147934829,159.9644039651789,1154.3906918615696,161.97851859306596,1201.21066419702,169.71770241030544,962.3544901269087,151.75027629305148,817.3146072861184,151.39991409797855,821.8641941211422,153.74875416951332,680.3594280785779
AA,page_4.jpg,181.32606919780318,1111.2263461230255,186.2549087374899,1138.079384708814,201.0989015822745,918.5661148688345,164.5881373399188,873.3035245238116,167.8202880518795,943.6053577272285,179.53433079046698,904.6852015616305,156.82236800764116,1081.6268398005084,159.15201481313912,1153.0406851850832,167.7019128052382,1198.4933033242137,150.02090638313916,540.5642321620016,151.06456450795326,585.7875803047394,156.63708228078775,613.5152637964824
AA,page_5.jpg,180.2431987140848,945.8238124632134,186.7843137254902,1002.1532194113685,198.6846529329031,801.5773707505512,172.42977798544445,781.7561412782659,177.4268281747043,821.5407124883495,187.39893240449692,729.3309462922526,162.65998652625606,1263.4076590479103,165.9167157158222,1335.5543893553063,176.24602820030967,1029.910024084633,154.6799455346945,894.1433598890469,156.80687471091855,926.1517878510091,164.01270070512277,731.7344878769978
